title,release_year,genres,score,budget,revenue
White Elephant,2022,"Action, Crime, Thriller",64.0,98600000.0,688313467.6
White Chicks,2004,"Comedy, Crime",69.0,20000000.0,111448997.0
White Boy Rick,2018,"Crime, Drama",63.0,30000000.0,25947983.0
Whisper,2022,"Horror, Thriller",64.0,20000.0,211802400.4
Whisper,2007,"Crime, Drama, Horror, Thriller",65.0,12000000.0,5285197.0
Whiplash,2014,"Drama, Music",84.0,3300000.0,39123993.0
While You Were Sleeping,1995,"Romance, Comedy",69.0,17000000.0,182057016.0
"Where'd You Go, Bernadette",2019,"Comedy, Drama",67.0,20000000.0,296432421.6
Where the Wild Things Are,2009,"Family, Fantasy, Drama, Adventure",65.0,100000000.0,99123656.0
Where the Heart Is,2000,"Comedy, Drama, Romance",71.0,15000000.0,40862054.0
Where the Crawdads Sing,2022,"Mystery, Drama, Thriller",76.0,24000000.0,136539552.0
Where Hands Touch,2019,"War, Drama, Romance",80.0,5043197.0,128269.0
Where Eagles Dare,1968,"Action, Adventure, War",76.0,7700000.0,21000000.0
When the Lights Went Out,2012,"Thriller, Drama, Horror",57.0,4581468.0,1181929.0
When the Bough Breaks,2016,"Mystery, Thriller, Drama, Horror",59.0,10000000.0,30768449.0
When a Stranger Calls,2006,"Horror, Mystery",57.0,15000000.0,67215435.0
When We First Met,2018,"Comedy, Romance, Fantasy",66.0,9500000.0,0.0
When Harry Met Sally...,1989,"Comedy, Romance, Drama",74.0,16000000.0,92823546.0
When Dinosaurs Ruled the Earth,1971,"Adventure, Fantasy, Science Fiction",62.0,136200000.0,363305380.2
Wheelman,2017,"Action, Crime, Thriller",61.0,5000000.0,0.0
What's Your Number?,2011,"Comedy, Romance",65.0,20000000.0,30163785.0
What's Love Got to Do with It?,2023,"Romance, Comedy",62.0,178400000.0,324436308.4
What's Eating Gilbert Grape,1994,"Romance, Drama",77.0,11000000.0,9170214.0
What to Expect When You're Expecting,2012,"Romance, Comedy, Drama",60.0,37500000.0,88473016.0
What a Girl Wants,2003,"Comedy, Romance, Drama, Family",62.0,25000000.0,37216643.0
What Women Want,2001,"Comedy, Romance",64.0,65000000.0,374105123.0
What We Leave Behind,2022,Documentary,63.0,90000000.0,433079565.6
What We Do in the Shadows,2014,"Comedy, Horror",76.0,1600000.0,6263224.0
What Men Want,2019,"Comedy, Romance",62.0,20000000.0,69911903.0
What Lies Beneath,2000,"Drama, Horror, Mystery, Thriller",64.0,90000000.0,288693989.0
What Lies Below,2020,"Horror, Mystery, Thriller, Science Fiction",53.0,122800000.0,611381558.2
What If,2013,"Drama, Comedy, Romance",67.0,11000000.0,9814566.0
What Happens in Vegas,2008,"Comedy, Romance",61.0,35000000.0,219375562.0
What Happened to Monday,2017,"Science Fiction, Thriller, Drama, Mystery, Action",72.0,20000000.0,27975429.0
What Ever Happened to Baby Jane?,1962,"Drama, Horror, Thriller",79.0,980000.0,2935750.2
What Dreams May Come,1998,"Drama, Fantasy, Romance",72.0,80000000.0,71485043.0
Westworld,1973,"Adventure, Science Fiction, Western",68.0,104800000.0,316773344.4
West Side Story,2021,"Drama, Romance, Crime",71.0,100000000.0,74826329.0
West Side Story,1961,"Crime, Drama, Romance",73.0,100000000.0,74826329.0
Werewolves Within,2021,"Horror, Comedy",61.0,6500000.0,937490.0
Werewolf: The Beast Among Us,2012,"Drama, Horror, Thriller",60.0,5000000.0,63615565.6
Werewolf by Night,2022,"Action, Fantasy, Horror, TV Movie",71.0,104000000.0,528355678.6
Wer,2014,"Horror, Mystery, Thriller",63.0,97760000.0,384573450.8
Wendy Wu: Homecoming Warrior,2006,"Family, Action, Adventure, TV Movie",62.0,6000000.0,106360586.2
Wendell & Wild,2022,"Animation, Comedy, Fantasy, Adventure",68.0,59960000.0,418659258.4
Well Suited For Christmas,2022,"TV Movie, Comedy, Romance, Drama",63.0,157600000.0,438742414.8
Welcome to the Jungle,2013,Comedy,51.0,3500000.0,7057999.2
Welcome to the Dollhouse,1996,"Comedy, Drama",72.0,800000.0,5034794.0
Welcome to the Club,2022,"Animation, Comedy",66.0,124000000.0,690278154.2
Welcome to Smelliville,2021,"Animation, Adventure, Family, Fantasy",71.0,31389400.0,1965219.0
Welcome Home Roscoe Jenkins,2008,"Comedy, Drama",61.0,27500000.0,43607627.0
Welcome Home,2018,"Thriller, Horror",52.0,136000000.0,544681313.6
Weird: The Al Yankovic Story,2023,"Music, Comedy",69.0,12000000.0,238918244.6
Weird Science,1985,"Comedy, Romance, Science Fiction",66.0,7500000.0,38934048.0
Weekend at Bernie's,1990,"Comedy, Crime",64.0,6500000.0,30218387.0
Wedding Daze,2007,Comedy,55.0,70800000.0,591573175.2
Wedding Crashers,2005,"Comedy, Romance",65.0,40000000.0,283218368.0
Weaponized,2016,"Thriller, Action, Science Fiction",39.0,118800000.0,842846355.6
We're the Millers,2013,"Comedy, Crime",68.0,37000000.0,269994119.0
We Were Soldiers,2002,"Action, History, War",71.0,70000000.0,114658262.0
We Own the Night,2008,"Drama, Crime, Thriller",67.0,28000000.0,55307857.0
We Need to Talk About Kevin,2011,"Drama, Thriller",76.0,7000000.0,10765283.0
We Have a Ghost,2023,"Comedy, Fantasy, Family, Adventure",66.0,150000000.0,569719222.6
We Die Young,2019,"Drama, Action, Crime, Thriller",69.0,4000000.0,143837.0
We Can Be Heroes,2020,"Action, Fantasy, Family, Comedy",61.0,90400000.0,571534256.6
We Bought a Zoo,2011,"Drama, Comedy, Family",68.0,50000000.0,118729073.0
We Bare Bears: The Movie,2020,"Animation, Adventure, Family, Comedy, TV Movie",78.0,188860000.0,365241983.2
We Are Your Friends,2015,"Drama, Music, Romance, Comedy",67.0,2000000.0,10153415.0
We Are Marshall,2007,"Drama, History",69.0,65000000.0,43545364.0
Wayne's World,1992,"Comedy, Music",67.0,20000000.0,183097323.0
Waves,2020,"Romance, Drama",74.0,6000000.0,2576990.0
Waterworld,1995,"Adventure, Action, Science Fiction",62.0,175000000.0,264246220.0
Watchmen,2009,"Action, Mystery, Science Fiction",73.0,138000000.0,186976250.0
Watcher,2022,"Mystery, Thriller, Horror",66.0,10237862.6,2667033.0
Warrior,2011,"Drama, Action",78.0,25000000.0,24215385.0
Warm Bodies,2013,"Horror, Comedy, Romance",64.0,30000000.0,114834312.0
Warlock: The Armageddon,1993,"Fantasy, Horror, Science Fiction, Action",53.0,3000000.0,3902679.0
Warlock,1989,"Horror, Fantasy, Action",63.0,7000000.0,8824553.0
Warlock,1959,Western,67.0,7000000.0,8824553.0
Warcraft,2016,"Action, Adventure, Fantasy",64.0,160000000.0,438899824.0
WarHunt,2022,"Action, Horror, Thriller, War, Fantasy",51.0,120400000.0,436837410.6
WarGames,1983,"Thriller, Science Fiction, Drama",71.0,12000000.0,74433837.0
War on Everyone,2016,"Action, Comedy, Mystery",57.0,187200000.0,295523878.0
War of the Worlds: Annihilation,2021,"Science Fiction, Action",53.0,149000000.0,349767799.4
War of the Worlds 2: The Next Wave,2008,"Action, Science Fiction, Adventure",41.0,500000.0,1261937.0
War of the Worlds,2005,"Adventure, Thriller, Science Fiction",65.0,132000000.0,606836535.0
War for the Planet of the Apes,2017,"Drama, Science Fiction, War",72.0,152000000.0,489592267.0
War Room,2015,"Drama, Romance",78.0,3000000.0,73989734.0
War Machine,2017,"Comedy, Drama, War",56.0,60000000.0,150038957.8
War Horse,2011,"War, Drama, Action",73.0,70000000.0,156815529.0
War Dogs,2016,"Comedy, Crime, Drama",69.0,50000000.0,86234503.0
War,2007,"Action, Thriller",63.0,25000000.0,40686409.0
Wanted,2008,"Action, Thriller, Crime",65.0,75000000.0,342416460.0
Wanderlust,2012,"Comedy, Romance",55.0,32500000.0,24159934.0
Wallace & Gromit: The Curse of the Were-Rabbit,2005,"Adventure, Animation, Comedy, Family",70.0,30000000.0,197593152.0
Wall Street: Money Never Sleeps,2010,"Drama, Crime",61.0,70000000.0,134748021.0
Wall Street,1988,"Crime, Drama",72.0,16500000.0,43848100.0
Walking with Dinosaurs,2014,"Animation, Family, Adventure",61.0,80000000.0,123368842.0
Walking Tall,2004,"Adventure, Drama, Action, Thriller",63.0,56000000.0,47856383.0
Walking Tall,1973,"Action, Crime, Drama",67.0,56000000.0,47856383.0
Walk the Line,2006,"Drama, Music, Romance",75.0,29000000.0,187707495.0
Walk of Shame,2014,Comedy,60.0,21800000.2,8122990.0
Walk Hard: The Dewey Cox Story,2008,"Comedy, Music, Drama",66.0,35000000.0,20606053.0
Waking Life,2001,"Animation, Drama, Fantasy",75.0,3184561.8,3176880.0
Wake of Death,2004,Action,59.0,14000000.0,521918.0
Waiting...,2005,Comedy,63.0,1125000.0,18673274.0
Wait With Me,2023,Romance,45.0,114500000.0,180591246.6
WWE WrestleMania 39 Saturday,2023,"Action, Family",85.0,10000000.0,69708877.0
WALL·E,2008,"Animation, Family, Science Fiction",81.0,180000000.0,521311860.0
Voyagers,2021,"Science Fiction, Thriller",60.0,29000000.0,4131781.0
Volcano,1997,"Science Fiction, Action, Drama, Thriller",59.0,90000000.0,120100000.0
Vixen!,1968,Drama,53.0,73000.0,8000000.0
Vivo,2021,"Animation, Family, Comedy",74.0,125000000.0,1139731798.4
Vivarium,2019,"Science Fiction, Thriller, Mystery, Horror",61.0,3947600.0,487625.0
Viva Las Vegas,1964,"Comedy, Drama, Music, Romance",63.0,107800000.0,422211450.6
Virus,1999,"Horror, Action, Science Fiction",54.0,75000000.0,30626690.0
Virgin Territory,2007,"Adventure, Action, Comedy, Romance",45.0,38000000.0,5473041.0
Viral,2016,"Drama, Horror, Science Fiction",57.0,1890009.2,551760.0
Violent Night,2022,"Action, Comedy, Crime, Thriller",76.0,20000000.0,76599607.0
Village of the Damned,1995,"Thriller, Horror, Science Fiction",60.0,22000000.0,9418365.0
Viking Quest,2014,"Action, Adventure, Fantasy, TV Movie",46.0,144500000.0,483567568.4
Videodrome,1984,"Horror, Mystery, Science Fiction",73.0,5952000.0,2120755.0
Victor Frankenstein,2016,"Drama, Science Fiction, Thriller",59.0,40000000.0,31124367.0
Victor Crowley,2017,"Comedy, Horror",57.0,119000000.0,254963976.8
Vicky Cristina Barcelona,2008,"Drama, Romance",68.0,16000000.0,104504817.0
Vice,2015,"Thriller, Science Fiction, Action, Adventure",44.0,60000000.0,70893782.0
Vice,2018,"Comedy, Drama",71.0,60000000.0,70893782.0
Vesper,2022,"Science Fiction, Drama, Adventure",65.0,44740000.0,889529.0
Vertigo,1959,"Mystery, Romance, Thriller",82.0,2479000.0,7797728.0
Vertical Limit,2000,"Adventure, Action, Thriller",60.0,75000000.0,213500000.0
Venom: Let There Be Carnage,2021,"Science Fiction, Action, Adventure",69.0,110000000.0,506863592.0
Venom,2018,"Science Fiction, Action",68.0,116000000.0,856081053.0
Venom,2005,"Horror, Thriller",55.0,116000000.0,856081053.0
Vengeance: A Love Story,2017,"Action, Drama, Thriller",56.0,25300000.0,4526.0
Vengeance,2022,"Thriller, Mystery, Comedy",67.0,85017249.0,4225720.0
Vendetta,2022,Action,62.0,66890000.0,448572309.6
Vehicle 19,2013,"Thriller, Action",54.0,103000000.0,704267152.4
Vegas Vacation,1997,Comedy,61.0,25000000.0,36400360.0
Vantage Point,2008,"Drama, Action, Thriller, Crime",64.0,40000000.0,150886329.0
Vanquish,2021,"Action, Crime, Thriller",56.0,134200000.0,772865923.6
Vanilla Sky,2001,"Mystery, Science Fiction, Drama, Romance, Fantasy, Thriller",68.0,70000000.0,202726605.0
Van Wilder: Freshman Year,2009,Comedy,54.0,6000000.0,20543.0
Van Helsing: The London Assignment,2004,"Action, Animation, Fantasy, Horror",63.0,124600000.0,351620037.2
Van Helsing,2004,"Horror, Adventure, Action",63.0,170000000.0,300150546.0
