title,release_year,genres,score,budget,revenue
A Man for All Seasons,1966,"['Drama', 'History']",75.0,3900000,28350000
A Mighty Heart,2007,"['Drama', 'Thriller']",67.0,16000000,18928871
A Mighty Wind,2003,"['Comedy', 'Music']",66.0,6000000,18750246
A Monster Calls,2016,"['Drama', 'Fantasy']",68.0,43000000,46652768
A Most Violent Year,2014,"['Crime', 'Drama', 'Thriller']",65.0,20000000,12007070
A Most Wanted Man,2014,['Thriller'],65.0,15000000,31554855
A Night at the Roxbury,1998,['Comedy'],59.0,17000000,30331165
A Nightmare on Elm Street,2010,"['Horror', 'Mystery', 'Thriller']",55.0,35000000,115664037
A Nightmare on Elm Street,1984,['Horror'],72.0,1800000,25504513
A Nightmare on Elm Street 3: Dream Warriors,1987,"['Horror', 'Thriller']",65.0,5000000,44793222
A Nightmare on Elm Street 4: The Dream Master,1988,"['Horror', 'Thriller']",58.0,7000000,72500000
A Nightmare on Elm Street 5: The Dream Child,1989,"['Horror', 'Thriller']",55.0,8000000,22168359
A Nightmare on Elm Street Part 2: Freddy's Revenge,1985,['Horror'],57.0,3000000,29999213
A Passage to India,1984,"['Drama', 'Adventure', 'History']",68.0,8000000,27187653
A Patch of Blue,1965,"['Drama', 'Romance']",76.0,800000,6792000
A Perfect Getaway,2009,"['Thriller', 'Mystery', 'Adventure']",62.0,14000000,22852638
A Perfect Man,2013,['Drama'],52.0,5000000,1000000
A Perfect Murder,1998,"['Crime', 'Thriller', 'Drama']",63.0,60000000,128038368
A Perfect World,1993,"['Crime', 'Drama', 'Thriller']",72.0,30000000,135130999
A Prayer for the Dying,1987,"['Crime', 'Drama', 'Action', 'Thriller']",61.0,6000000,1432687
A Quiet Passion,2016,['Drama'],75.0,8138338,1864266
A Rage in Harlem,1991,"['Crime', 'Comedy']",58.0,8000000,10400000
A Room with a View,1985,"['Drama', 'Romance']",69.0,3000000,20966644
A Royal Affair,2012,"['Drama', 'History', 'Romance']",72.0,8000000,7594693
A Scanner Darkly,2006,"['Animation', 'Science Fiction', 'Thriller']",68.0,8700000,7659918
A Serious Man,2009,"['Comedy', 'Drama']",66.0,7000000,31430334
A Simple Wish,1997,"['Adventure', 'Comedy', 'Family', 'Fantasy']",55.0,28000000,8345056
A Soldier's Story,1984,"['Drama', 'Mystery', 'War']",62.0,6000000,21821347
A Sound of Thunder,2005,"['Thriller', 'Science Fiction', 'Adventure', 'Action']",48.0,80000000,5989640
A Star Is Born,1976,"['Drama', 'Music', 'Romance']",57.0,6000000,161000000
A Street Cat Named Bob,2016,"['Drama', 'Family', 'Comedy']",75.0,8000000,82703
A Streetcar Named Desire,1951,['Drama'],76.0,1800000,8000000
A Thousand Words,2012,"['Drama', 'Comedy']",60.0,40000000,22044277
A Time to Kill,1996,"['Crime', 'Drama', 'Thriller']",70.0,40000000,152266007
A Troll in Central Park,1994,"['Fantasy', 'Animation', 'Science Fiction', 'Family']",44.0,23000000,71368
A United Kingdom,2016,"['Drama', 'History']",65.0,14000000,13819139
A Very Harold & Kumar Christmas,2011,['Comedy'],60.0,19000000,35387212
A View to a Kill,1985,"['Adventure', 'Action', 'Thriller']",60.0,30000000,152427960
A Violent Prosecutor,2016,"['Crime', 'Comedy']",76.0,500,50
A Walk Among the Tombstones,2014,"['Crime', 'Drama', 'Mystery', 'Thriller']",62.0,28000000,53181600
A Walk in the Clouds,1995,"['Drama', 'Romance']",65.0,20000000,50012507
A Walk in the Woods,2015,"['Adventure', 'Comedy', 'Drama']",57.0,8000000,35991087
A Walk to Remember,2002,"['Drama', 'Romance']",75.0,11000000,41227069
A Wednesday!,2008,"['Action', 'Drama']",70.0,1400000,3500000
A Whole Life Ahead,2008,"['Romance', 'Drama', 'Comedy']",65.0,5940000,4250000
A Woman Is a Woman,1961,"['Comedy', 'Drama', 'Romance']",75.0,160000,100655
A.I. Artificial Intelligence,2001,"['Drama', 'Science Fiction', 'Adventure']",68.0,100000000,235926552
ATL,2006,['Drama'],60.0,20000000,21170563
ATM,2012,"['Horror', 'Thriller']",47.0,3000000,1000000
AVP: Alien vs. Predator,2004,"['Adventure', 'Science Fiction', 'Action']",56.0,70000000,171183863
Aasai,1995,"['Action', 'Romance']",75.0,500000,500000
Aashiqui 2,2013,"['Drama', 'Romance']",68.0,1300000,16000000
Abandon,2002,"['Drama', 'Mystery', 'Thriller']",46.0,25000000,10719357
Abduction,2011,"['Thriller', 'Action', 'Mystery']",56.0,35000000,82087155
About Cherry,2012,['Drama'],44.0,2500000,3003
About Last Night,2014,"['Comedy', 'Romance']",60.0,12500000,49002684
About Schmidt,2002,"['Drama', 'Comedy']",67.0,30000000,105834556
About Time,2013,"['Comedy', 'Drama', 'Science Fiction']",78.0,12000000,87100449
About a Boy,2002,"['Drama', 'Comedy', 'Romance']",66.0,27000000,129000000
Above the Law,1988,"['Action', 'Adventure', 'Drama', 'Thriller']",59.0,7500000,18869631
Abraham Lincoln: Vampire Hunter,2012,"['Action', 'Fantasy', 'Horror']",55.0,69000000,112265139
Absence of Malice,1981,"['Drama', 'Romance', 'Thriller']",68.0,12000000,40716963
Absolute Power,1997,"['Crime', 'Drama', 'Thriller']",64.0,50000000,50068310
Accepted,2006,['Comedy'],62.0,23000000,38505009
Ace Ventura: Pet Detective,1994,"['Comedy', 'Mystery']",64.0,15000000,107217396
Ace Ventura: When Nature Calls,1995,"['Crime', 'Comedy', 'Adventure']",61.0,30000000,212385533
Ace in the Hole,1951,['Drama'],79.0,1821052,1300000
Across to Singapore,1928,"['Adventure', 'Drama']",62.0,290000,596000
Act of Valor,2012,"['Action', 'Thriller', 'War']",63.0,12000000,81272766
Action Jackson,1988,"['Action', 'Adventure', 'Comedy', 'Crime', 'Drama']",49.0,7000000,20256975
Adaptation.,2002,"['Comedy', 'Crime', 'Drama']",73.0,19000000,32801173
Admiral,2008,"['Drama', 'War', 'History']",68.0,2000000,38135878
Admission,2013,"['Comedy', 'Drama', 'Romance']",55.0,13000000,18000000
Adore,2013,['Drama'],61.0,16000000,318982
Adventureland,2009,['Comedy'],64.0,9500000,17164377
Aferim!,2015,"['Drama', 'History']",75.0,1379375,105097
Afflicted,2014,"['Horror', 'Thriller']",62.0,318000,1000000
Affliction,1997,['Drama'],58.0,6000000,6330054
After Earth,2013,"['Science Fiction', 'Action', 'Adventure']",50.0,130000000,243843127
After Hours,1985,"['Comedy', 'Thriller', 'Drama']",74.0,4500000,10609321
After the Sunset,2004,"['Action', 'Comedy', 'Crime', 'Drama']",60.0,60000000,61347797
After.Life,2010,"['Drama', 'Horror', 'Mystery', 'Thriller']",54.0,4500000,3606395
Aftermath,2017,"['Drama', 'Thriller']",57.0,10500000,1000000
Aftershock,2012,"['Horror', 'Thriller']",53.0,2000000,58510
Against the Ropes,2004,"['Romance', 'Drama']",45.0,39000000,6614280
Agent Cody Banks,2003,['Action'],50.0,28000000,58795814
Agent Cody Banks 2: Destination London,2004,['Comedy'],52.0,26000000,28818995
Agneepath,2012,"['Action', 'Crime', 'Drama']",63.0,11097000,49028000
Agora,2009,"['Adventure', 'Drama', 'History']",69.0,70000000,39041505
Air Bud,1997,"['Comedy', 'Family', 'Drama']",53.0,3000000,23144499
Air Force One,1997,"['Action', 'Thriller']",62.0,85000000,315156409
Airborne,1993,"['Action', 'Adventure', 'Comedy']",61.0,2600000,2850263
Airlift,2016,"['Thriller', 'Action', 'Drama', 'History']",73.0,4500000,32000000
Airplane!,1980,['Comedy'],71.0,3500000,83453539
Airport,1970,"['Action', 'Drama', 'Thriller']",62.0,10000000,100489151
Airport '77,1977,"['Action', 'Adventure', 'Drama', 'Thriller']",58.0,6000000,30000000
Airport 1975,1974,"['Action', 'Adventure', 'Drama', 'Thriller']",55.0,3000000,47000000
Aitraaz,2004,"['Thriller', 'Drama']",49.0,3500000,9250000
Akeelah and the Bee,2006,['Drama'],67.0,8000000,18948425
Akira,1988,"['Science Fiction', 'Animation']",78.0,8000000,553171
Aladdin,1992,"['Animation', 'Family', 'Comedy', 'Adventure', 'Fantasy', 'Romance']",74.0,28000000,504050219
Alan Partridge: Alpha Papa,2013,['Comedy'],65.0,4000000,9800000
Alatriste,2006,['Action'],56.0,24000000,23321954
Albert Nobbs,2011,['Drama'],62.0,8000000,5634828
Alesha Popovich and Tugarin the Dragon,2004,"['Animation', 'Comedy', 'Drama']",61.0,4000000,1730000
Alex & Emma,2003,"['Comedy', 'Romance']",50.0,30000000,15368897
Alex Cross,2012,"['Action', 'Thriller', 'Crime', 'Mystery']",51.0,45000000,30353232
Alexander,2004,"['War', 'History', 'Action', 'Adventure', 'Drama', 'Romance']",56.0,155000000,167298192
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,"['Family', 'Comedy']",61.0,28000000,100654149
Alexander's Ragtime Band,1938,"['Drama', 'Music', 'Romance']",69.0,2000000,4000000
Alfie,2004,['Comedy'],55.0,60000000,13395939
Ali,2001,['Drama'],67.0,107000000,87713825
Alice Through the Looking Glass,2016,"['Family', 'Fantasy']",65.0,170000000,299370084
Alice in Wonderland,2010,"['Family', 'Fantasy', 'Adventure']",64.0,200000000,1025491110
Alice in Wonderland,1951,"['Animation', 'Adventure', 'Family', 'Fantasy']",70.0,3000000,572000000
Alien,1979,"['Horror', 'Action', 'Thriller', 'Science Fiction']",79.0,11000000,104931801
Alien Nation,1988,"['Crime', 'Science Fiction', 'Thriller']",59.0,16000000,32155047
Alien: Covenant,2017,"['Horror', 'Science Fiction', 'Thriller']",57.0,97000000,232380243
Alien: Resurrection,1997,"['Science Fiction', 'Horror', 'Action']",59.0,70000000,162000000
Aliens,1986,"['Horror', 'Action', 'Thriller', 'Science Fiction']",77.0,18500000,183316455
Aliens in the Attic,2009,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Science Fiction']",53.0,45000000,57881056
Aliens vs Predator: Requiem,2007,"['Fantasy', 'Action', 'Science Fiction', 'Thriller', 'Horror']",49.0,40000000,41797066
Alien³,1992,"['Science Fiction', 'Action', 'Horror']",62.0,50000000,159773545
Alive,1993,"['Action', 'Adventure', 'Drama', 'Thriller']",67.0,32000000,36733909
All About Eve,1950,['Drama'],80.0,1400000,63463
All About My Mother,1999,"['Comedy', 'Drama']",74.0,8272296,67872296
All About Steve,2009,['Comedy'],47.0,15000000,40105542
All About the Benjamins,2002,"['Action', 'Adventure', 'Comedy']",59.0,14000000,25482931
All Dogs Go to Heaven,1989,"['Drama', 'Animation', 'Family', 'Comedy', 'Fantasy']",63.0,13800000,27100027
All Is Lost,2013,"['Action', 'Adventure', 'Drama']",66.0,9000000,6108720
All The Queen's Men,2001,"['Action', 'Comedy', 'Drama', 'History']",48.0,15000000,23000
All the King's Men,2006,"['Drama', 'Thriller']",57.0,55000000,9450897
All the President's Men,1976,"['Drama', 'History', 'Mystery', 'Thriller']",76.0,8500000,70600000
Allegiant,2016,"['Adventure', 'Science Fiction']",59.0,110000000,179246868
Allied,2016,"['Action', 'Drama', 'War', 'Romance', 'Thriller']",66.0,85000000,119520023
Almost Christmas,2016,"['Comedy', 'Drama']",54.0,17000000,42487325
Almost Famous,2000,"['Drama', 'Music']",74.0,60000000,47383689
Aloft,2014,['Drama'],51.0,8000000,53086
Aloha,2015,"['Drama', 'Comedy', 'Romance']",52.0,37000000,26250020
Alone With Her,2006,"['Crime', 'Drama', 'Romance', 'Thriller']",62.0,1000000,10018
Alone in the Dark,1982,"['Horror', 'Thriller']",55.0,20000000,8178569
Alone in the Dark,2005,"['Action', 'Fantasy', 'Horror', 'Thriller']",31.0,20000000,10442808
Along Came Polly,2004,"['Comedy', 'Romance']",58.0,42000000,171963386
Along Came a Spider,2001,"['Crime', 'Mystery', 'Thriller', 'Action']",61.0,60000000,105178561
Alpha and Omega,2010,"['Family', 'Animation']",53.0,20000000,39300000
Altered States,1980,"['Mystery', 'Drama', 'Fantasy', 'Science Fiction', 'Thriller', 'Horror']",67.0,15000000,19853892
Alvin and the Chipmunks,2007,"['Comedy', 'Music', 'Family', 'Fantasy', 'Animation']",55.0,60000000,361366633
Alvin and the Chipmunks: Chipwrecked,2011,"['Comedy', 'Fantasy', 'Family', 'Music', 'Animation']",54.0,75000000,342695435
Alvin and the Chipmunks: The Squeakquel,2009,"['Comedy', 'Family', 'Animation', 'Fantasy', 'Music']",53.0,75000000,443140005
Always,1989,"['Fantasy', 'Drama', 'Romance']",60.0,31000000,74134790
Amadeus,1984,"['Drama', 'History', 'Music']",78.0,18000000,51973029
Amarkalam,1999,[],73.0,500000,500000
Amelia,2009,['Adventure'],54.0,40000000,19258519
