title,release_year,genres,score,budget,revenue,duplicated_status
Cinderella,2015,"Romance, Fantasy, Family, Drama",68.0,95000000.0,542351353.0,True
Cinderella,2021,"Fantasy, Romance, Comedy",64.0,95000000.0,542351353.0,True
Children of the Corn,1984,"Horror, Thriller",57.0,800000.0,14568989.0,True
Children of the Corn,2023,"Horror, Thriller",55.0,800000.0,2119530.2,True
Cheaper by the Dozen,2022,"Family, Comedy",65.0,40000000.0,190212113.0,True
Cheaper by the Dozen,2004,"Comedy, Family",63.0,40000000.0,190212113.0,True
Charlie's Angels,2019,"Action, Adventure, Comedy",65.0,90000000.0,259736090.0,True
Charlie's Angels,2000,"Action, Adventure, Comedy, Crime, Thriller",58.0,90000000.0,259736090.0,True
Casino Royale,2006,"Adventure, Action, Thriller",75.0,102000000.0,594420216.0,True
Casino Royale,1989,"Adventure, Action, Comedy",53.0,102000000.0,594420216.0,True
Carrie,2002,"Drama, Horror, TV Movie",61.0,30000000.0,82409520.0,True
Carrie,2013,"Drama, Horror",60.0,30000000.0,82409520.0,True
Carrie,1976,"Horror, Thriller",73.0,30000000.0,82409520.0,True
Cape Fear,1992,"Crime, Thriller",73.0,35000000.0,182291969.0,True
Cape Fear,1962,"Drama, Thriller",74.0,35000000.0,182291969.0,True
Broken Arrow,1950,Western,68.0,65000000.0,148345997.0,True
Broken Arrow,1996,"Action, Thriller, Adventure",60.0,65000000.0,148345997.0,True
Beowulf,2007,"Adventure, Action, Animation",59.0,150000000.0,195080579.0,True
Beowulf,1999,"Adventure, Fantasy, Action",43.0,150000000.0,195080579.0,True
Ben-Hur,1960,"Action, Drama, History",79.0,95000000.0,91669648.0,True
Ben-Hur,2016,"Action, History, Adventure, Drama",57.0,95000000.0,91669648.0,True
Beauty and the Beast,1992,"Romance, Family, Animation, Fantasy",77.0,160000000.0,1268697483.0,True
Beauty and the Beast,2017,"Family, Fantasy, Romance",70.0,160000000.0,1268697483.0,True
Batman,1989,"Fantasy, Action, Crime",72.0,35000000.0,411348924.0,True
Batman,1967,"Action, Comedy, Crime",63.0,35000000.0,411348924.0,True
