title,release_year,genres,score,budget,revenue
Forbidden Planet,1956,"['Adventure', 'Science Fiction', 'Action']",72,1900000,3250000
Giant,1956,"['Action', 'Drama', 'Western']",75,5400000,35000000
Love Me Tender,1956,"['Drama', 'Action', 'Western', 'Music', 'Romance']",55,1000000,9000000
Moby Dick,1956,"['Adventure', 'Drama']",69,4500000,10400000
Somebody Up There Likes Me,1956,['Drama'],68,1920000,3360000
The King and I,1956,"['Drama', 'Music', 'Romance']",73,4550000,21300000
The Man Who Knew Too Much,1956,"['Adventure', 'Crime', 'Drama', 'Mystery', 'Thriller']",73,2500000,10250000
The Ten Commandments,1956,"['Drama', 'History']",75,13000000,122700000
The Wrong Man,1956,"['Crime', 'Drama', 'Mystery']",69,1200000,2000000
Trapeze,1956,['Drama'],64,4000000,14400000
War and Peace,1956,"['Drama', 'War', 'Romance']",68,6000000,12500000
12 Angry Men,1957,['Drama'],82,350000,1000000
I Was a Teenage Werewolf,1957,"['Drama', 'Fantasy', 'Horror', 'Science Fiction']",52,82000,2000000
Legend of the Lost,1957,"['Adventure', 'Drama']",61,1750000,2200000
The Bridge on the River Kwai,1957,"['Drama', 'History', 'War']",77,3000000,27200000
Witness for the Prosecution,1957,"['Drama', 'Mystery', 'Crime']",81,3000000,9000000
Attack of the 50 Foot Woman,1958,"['Horror', 'Science Fiction']",48,88000,480000
Cat on a Hot Tin Roof,1958,"['Drama', 'Romance']",76,3000000,17570324
South Pacific,1958,"['Music', 'Romance', 'War']",63,6000000,36800000
The Fly,1958,"['Drama', 'Horror', 'Science Fiction']",69,700000,3000000
Touch of Evil,1958,"['Drama', 'Thriller', 'Crime']",76,829000,2247465
Vertigo,1958,"['Mystery', 'Romance', 'Thriller']",80,2479000,28000000
Ben-Hur,1959,"['Action', 'Adventure', 'Drama', 'History']",75,15000000,146900000
North by Northwest,1959,"['Mystery', 'Thriller']",78,4000000,13275000
Sleeping Beauty,1959,"['Fantasy', 'Animation', 'Romance', 'Family']",68,6000000,51000000
Some Like It Hot,1959,"['Comedy', 'Romance']",80,2883848,25000000
The Nun's Story,1959,['Drama'],74,3500000,12800000
Cinderfella,1960,"['Comedy', 'Romance']",67,3000000,7100000
Elmer Gantry,1960,['Drama'],73,3000000,10400000
Exodus,1960,"['Action', 'Drama', 'History', 'War']",69,4000000,21750000
House of Usher,1960,"['Horror', 'Thriller']",65,270000,1450000
Never on Sunday,1960,"['Drama', 'Comedy', 'Romance']",60,151000,8000000
Peeping Tom,1960,"['Horror', 'Thriller']",76,150000,83957
Psycho,1960,"['Drama', 'Horror', 'Thriller']",83,806948,32000000
Spartacus,1960,"['Action', 'Drama', 'History']",73,12000000,60000000
The Alamo,1960,"['Action', 'Adventure', 'Drama', 'History', 'Western']",65,12000000,7900000
The Apartment,1960,"['Comedy', 'Drama', 'Romance']",81,3000000,25000000
The Bellboy,1960,['Comedy'],61,900000,10000000
The Magnificent Seven,1960,['Western'],74,2000000,4905000
A Woman Is a Woman,1961,"['Comedy', 'Drama', 'Romance']",75,160000,100655
Breakfast at Tiffany's,1961,"['Comedy', 'Drama', 'Romance']",76,2500000,9500000
Judgment at Nuremberg,1961,"['Drama', 'History']",76,3000000,10000000
King of Kings,1961,['Drama'],72,5037000,14483352
One Hundred and One Dalmatians,1961,"['Adventure', 'Animation', 'Comedy', 'Family']",68,4000000,215880014
"One, Two, Three",1961,"['Comedy', 'Family']",76,3000000,4000000
One-Eyed Jacks,1961,"['Western', 'Action']",62,6000000,4300000
Pocketful of Miracles,1961,"['Comedy', 'Drama']",73,2900000,5000000
The Guns of Navarone,1961,"['Action', 'Adventure', 'Drama', 'War']",73,6000000,28900000
The Hustler,1961,['Drama'],76,2000000,7600000
