item,title,genreLabel,boxofficeww,boxofficeusa,publicationdate,reviewscore,budget
http://www.wikidata.org/entity/Q23780457,Kingsman: The Golden Circle,action film,,,2017-09-22T00:00:00Z,5.4/10,104000000 USD
http://www.wikidata.org/entity/Q202028,War of the Worlds,action film,591745532,234280354,2005-06-29T00:00:00Z,75%,132000000 USD
http://www.wikidata.org/entity/Q28840385,Hotel Transylvania 3,fantasy film,528583774,,2018-07-13T00:00:00Z,5.5/10,65000000 USD
http://www.wikidata.org/entity/Q229603,Charlie's Angels: Full Throttle,adventure film,259200000,,,42%,120000000 USD
http://www.wikidata.org/entity/Q229603,Charlie's Angels: Full Throttle,adventure film,259200000,,,5.1/10,120000000 USD
http://www.wikidata.org/entity/Q21010849,The Circle,drama film,,,2017-04-28T00:00:00Z,4.2/10,
http://www.wikidata.org/entity/Q73897733,Greenland,disaster film,,,,6.3/10,35000000 USD
http://www.wikidata.org/entity/Q472096,Body Heat,drama film,,,1981-08-28T00:00:00Z,8.1/10,
http://www.wikidata.org/entity/Q628154,Mission: Impossible – Ghost Protocol,action film,694713380,209397903,2011-12-21T00:00:00Z,7.7/10,145000000 USD
http://www.wikidata.org/entity/Q753517,Limitless,film based on a novel,,,,69%,27000000 USD
http://www.wikidata.org/entity/Q62721520,1917,drama film,384919389,159227644,2019-12-25T00:00:00Z,8.4/10,95000000 USD
http://www.wikidata.org/entity/Q28234,Les Misérables,film based on a novel,,,,6.9/10,61000000 USD
http://www.wikidata.org/entity/Q935945,Child's Play,slasher film,,,,71%,
http://www.wikidata.org/entity/Q105970894,Sonic the Hedgehog 2,adventure film,401872904,190872904,2022-04-08T00:00:00Z,69%,
http://www.wikidata.org/entity/Q25188,Inception,heist film,836848102,292587330,2010-07-16T00:00:00Z,8.1/10,160000000 USD
http://www.wikidata.org/entity/Q28840385,Hotel Transylvania 3,fantasy film,528583774,,2018-07-13T00:00:00Z,62%,65000000 USD
http://www.wikidata.org/entity/Q60614686,The Gentlemen,comedy film,,,2020-01-24T00:00:00Z,75%,22000000 USD
http://www.wikidata.org/entity/Q80959,Elysium,action thriller,,,,6.5/10,115000000 USD
http://www.wikidata.org/entity/Q113668893,American Carnage,horror film,,,2022-07-15T00:00:00Z,,
http://www.wikidata.org/entity/Q10350033,Pirates of the Caribbean: Dead Men Tell No Tales,comedy film,794881442,172558876,2017-05-26T00:00:00Z,4.7/10,230000000 USD
http://www.wikidata.org/entity/Q25188,Inception,science fiction film,829895144,292587330,2010-07-16T00:00:00Z,8.1/10,160000000 USD
http://www.wikidata.org/entity/Q2044064,The Yakuza,drama film,1500000,,1975-03-19T00:00:00Z,59%,5000000 USD
http://www.wikidata.org/entity/Q229603,Charlie's Angels: Full Throttle,female buddy film,259200000,,,42%,120000000 USD
http://www.wikidata.org/entity/Q229603,Charlie's Angels: Full Throttle,female buddy film,259200000,,,5.1/10,120000000 USD
http://www.wikidata.org/entity/Q1132535,Little Big Man,comedy film,,,,96%,15000000 USD
http://www.wikidata.org/entity/Q21872268,A Street Cat Named Bob,film based on a novel,,,,77%,8000000 USD
