title,release_year,genres,score,budget,revenue
Darkest Hour,2017.0,"biographical film, drama film, war film",84.0,30000000.0,150847274.0
Dawn of the Dead,1979.0,"horror film, post-apocalyptic film, action film, zombie film, science fiction film",86.0,650000.0,66000000.0
Day of the Dead,1985.0,"action film, zombie film, horror film, science fiction film",83.0,3500000.0,34004262.0
Dead Poets Society,1989.0,"coming-of-age fiction, drama film, teen film",73.0,16400000.0,235860116.0
Deadpool,2016.0,"comedy film, action film, science fiction film, superhero film, LGBT-related film",71.0,58000000.0,782836791.0
Deadpool 2,2018.0,"comedy film, time-travel film, superhero film, LGBT-related film, speculative/fantastic fiction film",71.0,110000000.0,1000000000.0
Death Hunt,1981.0,"adventure film, crime film, action film, thriller film",61.0,10000000.0,21000000.0
Death Race 2000,1975.0,"science fiction film, speculative/fantastic fiction film, action film, dystopian film",81.0,300000.0,8000000.0
Death on the Nile,2022.0,"mystery film, drama film, crime film, detective film, film based on a novel, thriller film, suspense",62.0,90000000.0,137307235.0
Death on the Nile,1978.0,"mystery film, drama film, crime film, detective film, film based on a novel, thriller film, suspense",66.0,7920000.0,14568801.0
Der Name der Rose,1986.0,"mystery film, drama film, crime film, film based on a novel, horror film, medieval film, thriller film",63.0,17500000.0,77200000.0
Desperate Journey,1942.0,"drama film, war film",67.0,1209000.0,3980000.0
Diamonds Are Forever,1971.0,"adventure film, action film, film based on a novel, spy film, thriller",62.0,7200000.0,115999985.0
Dick Tracy,1990.0,"comedy film, crime film, action film",58.0,47000000.0,162738726.0
Die Hard,1988.0,"heist film, action film, action thriller, film based on a novel, Christmas film",94.0,28000000.0,141603197.0
Die Hard 2,1990.0,"action thriller, Christmas film, film based on a novel, thriller film, crime film, action film",69.0,70000000.0,240031274.0
Die Hard 4.0,2007.0,"buddy cop film, buddy film, action thriller, action film",82.0,110000000.0,388156011.0
Die Hard with a Vengeance,1995.0,"action thriller, heist film, action film, buddy cop film, buddy film",61.0,90000000.0,366101666.0
Digimon: The Movie,2000.0,action film,41.0,5000000.0,16643191.0
District 9,2009.0,"dystopian film, drama film, found footage, action film, science fiction film, biopunk, thriller film",90.0,30000000.0,210888950.0
Divergent,2014.0,"post-apocalyptic film, dystopian film, adventure film, action film, film based on a novel, romance film, thriller film",54.0,85000000.0,288885818.0
Django Unchained,2012.0,"blaxploitation film, Western film, drama film",87.0,100000000.0,426074373.0
Do the Right Thing,1989.0,"comedy film, drama film, hood film, independent film",91.0,6000000.0,37295445.0
Doctor Strange,2016.0,"fantasy film, science fiction film, superhero film, action film, adventure film",73.0,165000000.0,677718395.0
Doctor Strange in the Multiverse of Madness,2021.0,"fantasy film, action film, science fiction film, superhero film, adventure film, horror film",74.0,200000000.0,955775804.0
Doctor Strange in the Multiverse of Madness,2022.0,"fantasy film, action film, science fiction film, superhero film, adventure film, horror film",74.0,200000000.0,955775804.0
DodgeBall: A True Underdog Story,2004.0,"sport film, comedy film, LGBT-related film",63.0,20000000.0,168423227.0
Dogma,1999.0,"fantasy film, comedy film, adventure film",63.0,10000000.0,31429330.0
Don't Worry Darling,2022.0,"mystery film, drama film, psychological thriller, horror film, thriller film",38.0,20000000.0,87609403.0
Donnie Darko,2001.0,"mystery film, drama film, magic realist film, comedy drama, fantasy film, science fiction film, horror film",87.0,6000000.0,7510154.0
Double Dragon,1994.0,"action film, fantasy film, science fiction film, martial arts film, film based on literature, dystopian film",13.0,7800000.0,4152699.0
Doubt,2008.0,drama film,70.0,20000000.0,51699984.0
Down by Law,1986.0,"road movie, comedy film, prison film, drama film, independent film, buddy film",76.0,453600.0,1529199.0
Dr. No,1963.0,"action film, film based on a novel, spy film, thriller, adventure film",95.0,1100000.0,59600000.0
Dr. Seuss' How the Grinch Stole Christmas,2000.0,"musical film, fantasy film, film based on books, Christmas film, children's film, family film, comedy film, adventure film",49.0,123000000.0,345100000.0
Dr. Strangelove,1964.0,"war film, black comedy film, film based on a novel, comedy film, satirical film or television program",91.0,1800000.0,9523464.0
Dragonball Evolution,2009.0,"fantasy film, science fiction film, adventure film, action film",36.0,30000000.0,55720772.0
Drive,2011.0,"thriller film, drama film, crime film, neo-noir",83.0,15000000.0,78714970.0
Dune,2021.0,"film based on a novel, science fiction film, speculative/fantastic fiction film, adventure film, action film",76.0,165000000.0,401847900.0
Dune: Part One,2021.0,"adventure film, action film, science fiction film, film based on a novel, speculative/fantastic fiction film",76.0,165000000.0,401847900.0
Dunkirk,2017.0,"war film, drama film",92.0,100000000.0,526940665.0
E.T. the Extra-Terrestrial,1982.0,"drama film, science fiction film, children's film, family film",99.0,10500000.0,792910554.0
Each Dawn I Die,1939.0,"crime film, prison film, drama film",60.0,735000.0,1570000.0
Edward Scissorhands,1990.0,"drama film, fantasy film, science fiction film, Christmas film, romance film, horror film, comedy film",90.0,20000000.0,86024005.0
Elf,2003.0,"fantasy film, Christmas film, family film, comedy film",71.0,33000000.0,225097437.0
Elizabeth: The Golden Age,2007.0,"drama film, biographical film",51.0,55000000.0,75782758.0
Elvis,2022.0,"biographical film, gambling film, drama film, musical film",77.0,85000000.0,272075000.0
Enemy of the State,1998.0,"political thriller film, thriller film, action film",64.0,90000000.0,250600000.0
Eraserhead,1978.0,"fantasy film, speculative/fantastic fiction film, drama film, body horror film",83.0,100000.0,7097971.0
Escape from Alcatraz,1979.0,"prison film, drama film, action film, film based on books",70.0,8000000.0,43005351.0
Escape from New York,1981.0,"thriller film, post-apocalyptic film, dystopian film, prison film, action film, science fiction film",86.0,6000000.0,25274965.0
Escape to Victory,1981.0,"prison film, drama film, association football film, war film",63.0,10000000.0,27453418.0
Eternal Sunshine of the Spotless Mind,2004.0,"romantic comedy, melodrama, comedy drama, fantasy film, science fiction film",85.0,20000000.0,74036715.0
Eternals,2021.0,"superhero film, speculative/fantastic fiction film, adventure film, drama film, action film, science fiction film",56.0,200000000.0,402064899.0
Everything Everywhere All at Once,2022.0,"family film, absurdist fiction, psychedelic film, action film, comedy drama, science fiction film, martial arts film",940.0,25000000.0,97737200.0
Evil Dead,2013.0,"zombie film, horror film",62.0,17000000.0,97542952.0
Exodus: Gods and Kings,2014.0,"drama film, historical film",30.0,140000000.0,268175631.0
F9,2021.0,action film,57.0,200000000.0,726229501.0
Fanny och Alexander,1983.0,drama film,100.0,6000000.0,6795771.0
Fantastic Beasts and Where to Find Them,2016.0,"adventure film, drama film, fantasy film, film based on books, children's film",74.0,180000000.0,814044001.0
Fantastic Beasts: The Crimes of Grindelwald,2018.0,"fantasy film, adventure film, drama film",36.0,200000000.0,654855901.0
Fantastic Beasts: The Secrets of Dumbledore,2022.0,"fantasy film, family film, adventure film, drama film",46.0,200000000.0,405161334.0
Fantastic Mr. Fox,2009.0,"action film, melodrama, film based on a novel, stop-motion animated film, comedy film",79.0,40000000.0,46474181.0
Fargo,1996.0,"thriller film, drama film, crime film, black comedy film, neo-noir",88.0,7000000.0,60611975.0
Fast & Furious 6,2013.0,"thriller film, heist film, action film",62.0,160000000.0,788680968.0
Fast & Furious Presents: Hobbs & Shaw,2019.0,"action film, thriller film",61.0,200000000.0,759056935.0
Fast Five,2011.0,"heist film, crime thriller, crime film, action film",78.0,125000000.0,626137675.0
Fast and Furious 7 (Furious 7) part 1 and part 2,2015.0,"comedy film, drama film, action film, thriller film, heist film",67.0,190000000.0,1515047671.0
Ferris Bueller's Day Off,1986.0,"coming-of-age fiction, comedy film, teen film",81.0,5000000.0,70720215.0
Fight Club,1999.0,"psychological thriller film, film based on a novel, thriller film, flashback film, drama film",74.0,63000000.0,101209702.0
First Reformed,2018.0,drama film,83.0,3500000.0,3862498.0
Five Star Final,1931.0,"drama film, crime film",91.0,310000.0,822000.0
Flightplan,2005.0,"drama film, thriller film, mystery film",53.0,55000000.0,223387299.0
Forbidden Planet,1956.0,"drama film, action film, science fiction film, adventure film",96.0,1968000.0,2765000.0
Ford v. Ferrari,2019.0,"action film, drama film, biographical film",77.0,97600000.0,172535062.0
Forrest Gump,1994.0,"tragicomedy, flashback film, coming-of-age fiction, comedy film, drama film, romantic comedy, American football film, film based on a novel, historical drama",71.0,55000000.0,678151134.0
Frank,2014.0,"comedy film, drama film",75.0,1000000.0,2524835.0
Freaky Friday,2003.0,"comedy film, romantic comedy, musical film, fantasy film, film based on a novel",88.0,20000000.0,160846332.0
Freddy Got Fingered,2001.0,comedy film,11.0,14000000.0,14343028.0
Free Fire,2017.0,"action film, comedy film",70.0,7000000.0,3719383.0
From Russia with Love,1964.0,"action film, film based on a novel, spy film",97.0,2000000.0,78900000.0
Fury,2014.0,"war film, drama film, action film",76.0,68000000.0,211822697.0
Get Out,2017.0,"horror film, thriller film, comedy horror, mystery film",84.0,4500000.0,255745157.0
Ghostbusters: Afterlife,2021.0,"speculative/fantastic fiction film, comedy film, ghost film, science fiction film",62.0,75000000.0,197360575.0
Gigi,1958.0,"film based on literature, romantic comedy, musical film",75.0,3300000.0,13200000.0
"Gigi, ett lättfärdigt styckesv",1958.0,"film based on literature, romantic comedy, musical film",75.0,3300000.0,13200000.0
Gladiator,2000.0,"adventure film, drama film, action film, historical film, melodrama, sword-and-sandal film, epic film",73.0,103000000.0,460583960.0
Glass,2019.0,"science fiction film, thriller film, horror film, superhero film",52.0,20000000.0,244100000.0
Godzilla vs. Kong,2021.0,"action film, science fiction film, thriller film",75.0,200000000.0,468216094.0
Goldfinger,1965.0,"spy film, action film, film based on a novel",99.0,3000000.0,124900000.0
