title,release_year,genres,score,budget,revenue
X-Men: Days of Future Past,2014.0,"Action, Adventure, Fantasy, Science Fiction",75.0,250000000.0,747862775.0
X-Men: Apocalypse,2016.0,Science Fiction,64.0,178000000.0,543934787.0
X-Men Origins: Wolverine,2009.0,"Adventure, Action, Thriller, Science Fiction",62.0,150000000.0,373062864.0
X-Men,2000.0,"Adventure, Action, Science Fiction",68.0,75000000.0,296339527.0
X+Y,2015.0,Drama,67.0,75500000.0,509726081.0
X,2011.0,"Action, Thriller, Romance",65.0,1000000.0,15113105.0
Wyrmwood: Road of the Dead,2015.0,"Horror, Action, Comedy",61.0,117200000.0,755498891.0
Wyatt Earp,1994.0,"Drama, Action, Western",65.0,63000000.0,25052000.0
Wuthering Heights,1992.0,"Drama, Romance",67.0,8000000.0,2721534.0
Wrongfully Accused,1998.0,"Action, Adventure, Comedy",59.0,7221932.4,9623329.0
Wrong Turn 6: Last Resort,2014.0,Horror,54.0,1200000.0,3174356.0
Wrong Turn 5: Bloodlines,2012.0,"Horror, Thriller",54.0,3000000.0,3380105.2
Wrong Turn 4: Bloody Beginnings,2011.0,"Horror, Thriller",57.0,3000000.0,66263722.8
Wrong Turn 3: Left for Dead,2009.0,"Horror, Thriller",56.0,3000000.0,37753869.2
Wrong Turn 2: Dead End,2007.0,"Horror, Thriller",60.0,4000000.0,30361598.0
Wrong Turn,2003.0,"Horror, Thriller",60.0,12600000.0,28650575.0
Wrong Place,2022.0,Thriller,44.0,124800000.0,834642911.6
Wreck-It Ralph,2012.0,"Family, Animation, Comedy, Adventure",71.0,165000000.0,471222889.0
Wrath of the Titans,2012.0,Adventure,55.0,150000000.0,301000000.0
Wrath of Man,2021.0,"Action, Crime, Thriller",77.0,40000000.0,103913405.0
Wounds,2019.0,"Horror, Mystery, Thriller",40.0,101800000.0,858637629.0
Would You Rather,2012.0,"Thriller, Horror",60.0,100600000.0,610599012.0
